"ozon" "solarR" "ruzgar" "sicaklik_F" "ay" "yuksek_ozon" "yuksek_solar" "yuksek_ruzgar" "yuksek_sicaklik"
20 252 10.9 80 9 0 1 1 1
41 190 7.4 67 5 1 0 0 0
37 284 20.7 72 6 1 1 1 0
45 252 14.9 81 5 1 1 1 1
37 279 7.4 76 5 1 1 0 0
96 167 6.9 91 9 1 0 0 1
59 51 6.3 79 8 1 0 0 0
30 193 6.9 70 9 0 0 0 0
21 259 15.5 76 9 0 1 1 0
20 81 8.6 82 7 0 0 0 1
32 92 12 61 5 1 0 1 0
23 115 7.4 76 8 0 0 0 0
16 77 7.4 82 8 0 0 0 1
20 37 9.2 65 6 0 0 0 0
77 276 5.1 88 7 1 1 0 1
27 175 14.9 81 7 0 0 1 1
89 229 10.3 90 8 1 1 1 1
24 259 9.7 73 9 0 1 0 0
47 95 7.4 87 9 1 0 0 1
9 24 10.9 71 9 0 0 1 0
85 175 7.4 89 7 1 0 0 1
18 65 13.2 58 5 0 0 1 0
73 183 2.8 93 9 1 0 0 1
23 14 9.2 71 9 0 0 0 0
24 238 10.3 68 9 0 1 1 0
9 36 14.3 72 8 0 0 1 0
11 320 16.6 73 5 0 1 1 0
20 223 11.5 68 9 0 1 1 0
13 112 11.5 71 9 0 0 1 0
34 307 12 66 5 1 1 1 0
97 267 6.3 92 7 1 1 0 1
110 207 8 90 8 1 1 0 1
21 259 15.5 77 8 0 1 1 0
63 220 11.5 85 7 1 1 1 1
21 191 14.9 77 6 0 0 1 0
52 82 12 86 7 1 0 1 1
76 203 9.7 97 8 1 0 0 1
36 118 8 72 5 1 0 0 0
46 237 6.9 78 9 1 1 0 0
18 313 11.5 62 5 0 1 1 0
45 212 9.7 79 8 1 1 0 0
135 269 4.1 84 7 1 1 0 1
31 244 10.9 78 8 0 1 1 0
10 264 14.3 73 7 0 1 1 0
168 238 3.4 81 8 1 1 0 1
8 19 20.1 61 5 0 0 1 0
11 290 9.2 66 5 0 1 0 0
64 175 4.6 83 7 1 0 0 1
85 188 6.3 94 8 1 0 0 1
84 237 6.3 96 8 1 1 0 1
29 127 9.7 82 6 0 0 0 1
16 256 9.7 69 5 0 1 0 0
78 197 5.1 92 9 1 0 0 1
44 236 14.9 81 9 1 1 1 1
97 272 5.7 92 7 1 1 0 1
23 148 8 82 6 0 0 0 1
14 334 11.5 64 5 0 1 1 0
7 49 10.3 69 9 0 0 1 0
65 157 9.7 80 8 1 0 0 1
35 274 10.3 82 7 1 1 1 1
50 275 7.4 86 7 1 1 0 1
7 48 14.3 80 7 0 0 1 1
12 149 12.6 74 5 0 0 1 0
13 137 10.3 76 6 0 0 1 0
28 238 6.3 77 9 0 1 0 0
28 273 11.5 82 8 0 1 1 1
23 220 10.3 78 9 0 1 1 0
44 192 11.5 86 8 1 0 1 1
14 20 16.6 63 9 0 0 1 0
108 223 8 85 7 1 1 0 1
39 83 6.9 81 8 1 0 0 1
16 7 6.9 74 7 0 0 0 0
40 314 10.9 83 7 1 1 1 1
122 255 4 89 8 1 1 0 1
6 78 18.4 57 5 0 0 1 0
13 238 12.6 64 9 0 1 1 0
4 25 9.7 61 5 0 0 0 0
64 253 7.4 83 7 1 1 0 1
30 322 11.5 68 5 0 1 1 0
91 189 4.6 93 9 1 0 0 1
32 92 15.5 84 9 1 0 1 1
61 285 6.3 84 7 1 1 0 1
18 131 8 76 9 0 0 0 0
18 224 13.8 67 9 0 1 1 0
80 294 8.6 86 7 1 1 0 1
32 236 9.2 81 7 1 1 0 1
118 225 2.3 94 8 1 1 0 1
23 299 8.6 65 5 0 1 0 0
23 13 12 67 5 0 0 1 0
11 44 9.7 62 5 0 0 0 0
115 223 5.7 79 5 1 1 0 0
1 8 9.7 59 5 0 0 0 0
16 201 8 82 9 0 0 0 1
71 291 13.8 90 6 1 1 1 1
14 274 10.9 68 5 0 1 1 0
21 230 10.9 75 9 0 1 1 0
12 120 11.5 73 6 0 0 1 0
44 190 10.3 78 8 1 0 1 0
79 187 5.1 87 7 1 0 0 1
19 99 13.8 59 5 0 0 1 0
